"From: May 5, 2015, 2:52:49 PM To: May 25, 2015, 5:22:11 PM
Generated On: May 25, 2015, 5:23:45 PM"


Sales Item Totals
Item Name,Purchase Count,Purchase Total,Return Count,Return Total,Net Total
"Non Alcoholic: Diet Pepsi","11","$24.75","0","$0.00","$24.75"
"Non Alcoholic: Dr. Pepper","2","$4.50","0","$0.00","$4.50"
"Non Alcoholic: Expresso","12","$36.00","0","$0.00","$36.00"
"Non Alcoholic: Hot Tea","7","$15.75","0","$0.00","$15.75"
"Non Alcoholic: Iced Tea","57","$105.75","0","$0.00","$105.75"
"Non Alcoholic: Milk","4","$6.75","0","$0.00","$6.75"
"Non Alcoholic: Misc","1","$9.01","0","$0.00","$9.01"
"Non Alcoholic: Orange Juice","1","$3.00","0","$0.00","$3.00"
"Non Alcoholic: Pepsi ","13","$20.25","0","$0.00","$20.25"
"Non Alcoholic: San Pellegrino","13","$39.00","0","$0.00","$39.00"
"Non Alcoholic: Sierra Mist","11","$24.75","0","$0.00","$24.75"
"Non Alcoholic: Unsweet Tea","11","$24.75","0","$0.00","$24.75"
"Wine: Mar de Vinas Alb. Glass","6","$35.00","0","$0.00","$35.00"
"Wine: Aubry Brut","1","$96.00","0","$0.00","$96.00"
"Wine: Benchlands Pinot Bottle","2","$64.00","0","$0.00","$64.00"
"Wine: Benchlands Pinot Glass","2","$16.00","0","$0.00","$16.00"
"Wine: Campellares Rioja Bottle","4","$128.00","0","$0.00","$128.00"
"Wine: Campellares Rioja Glass","27","$168.00","0","$0.00","$168.00"
"Wine: Chamisal Chard Bottle","3","$84.00","0","$0.00","$84.00"
"Wine: Chamisal Chard Glass","8","$56.00","0","$0.00","$56.00"
"Wine: Charles & Charles Glass","1","$6.50","0","$0.00","$6.50"
"Wine: Charles & Charles Rose Bottle","1","$26.00","0","$0.00","$26.00"
"Wine: Charles De Fere Glass","20","$102.50","0","$0.00","$102.50"
"Wine: Chateau Briot Glass","27","$149.00","0","$0.00","$149.00"
"Wine: Chateaumar Grenache Bottle","1","$28.00","0","$0.00","$28.00"
"Wine: Chateaumar Grenache Glass","19","$129.00","0","$0.00","$129.00"
"Wine: Corbières Bottle","1","$0.00","0","$0.00","$0.00"
"Wine: Corbières Glass","5","$33.00","0","$0.00","$33.00"
"Wine: Equinoxe Crozes Hermitage Bottle","5","$200.00","0","$0.00","$200.00"
"Wine: Gambler Malbec Bottle","3","$96.00","0","$0.00","$96.00"
"Wine: Gambler Malbec Glass","29","$228.00","0","$0.00","$228.00"
"Wine: Heron Bottle","1","$24.00","0","$0.00","$24.00"
"Wine: Heron Glass","26","$146.00","0","$0.00","$146.00"
